year,unemployment
1975,8.475
1976,7.7
1977,7.05
1978,6.06666666666667
1979,5.85
1980,7.175
1981,7.61666666666667
1982,9.70833333333333
1983,9.6
1984,7.50833333333333
1985,7.19166666666667
1986,7
1987,6.175
1988,5.49166666666667
1989,5.25833333333333
1990,5.61666666666667
1991,6.85
1992,7.49166666666667
1993,6.90833333333333
1994,6.1
1995,5.59166666666667
1996,5.40833333333333
1997,4.94166666666667
1998,4.5
1999,4.21666666666667
2000,3.96666666666667
2001,4.74166666666667
2002,5.78333333333333
2003,5.99166666666667
2004,5.54166666666667
2005,5.08333333333333
2006,4.60833333333333
2007,4.61666666666667
2008,5.8
2009,9.28333333333333
2010,9.60833333333333
2011,8.93333333333333
2012,8.075
2013,7.35833333333333
2014,6.15833333333333
2015,5.275
2016,4.875
2017,4.21666666666667
2018,3.96666666666667
2019,3.54666666666667
